Model,Best Epoch,Accuracy,Weighted Precision,Weighted Recall,Weighted F1,ROC-AUC,Benign P/R/F1,Pathogenic P/R/F1
CNN,10,0.6681169715266678,0.672340538517156,0.6681169715266678,0.6599672011069425,0.7218982912214438,0.656159/0.803558/0.722416,0.691142/0.510750/0.587408
BiLSTM,10,0.6299650742911265,0.6494410463968948,0.6299650742911265,0.6022543027336495,0.6516754078954257,0.609612/0.866175/0.715592,0.695718/0.355516/0.470568
CNN+BiLSTM,9,0.6304978393417392,0.6291422486102207,0.6304978393417392,0.6289721292862605,0.690477486699027,0.646282/0.690274/0.667554,0.609227/0.561044/0.584144
Ensemble,10,0.6325993014858226,0.6314774712340758,0.6325993014858226,0.6281035883909533,0.6820039687747284,0.638121/0.730862/0.681350,0.623759/0.518428/0.566237
DNABERT-2,9,0.8612147043153969,0.8623503525406917,0.8612147043153969,0.8606570574686863,0.9136645922590639,0.847695/0.904230/0.875050,0.879379/0.811236/0.843934
