Model,Split,Accuracy,Weighted Precision,Weighted Recall,Weighted F1,ROC-AUC,Benign P/R/F1,Pathogenic P/R/F1
M3 (gene-only),A,0.6417155034629728,0.640582684850737,0.6417155034629728,0.6405443418328677,0.6903291675609253,0.658/0.695/0.676,0.621/0.580/0.599
M3 (gene-only),B,0.5377146240378923,0.28913701690421184,0.5377146240378923,0.37606069732882624,0.5,0.538/1.000/0.699,0.000/0.000/0.000
M3 (gene-only),C,0.5832836354961832,0.5796785221571563,0.5832836354961832,0.5767164759459898,0.6043667005968095,0.598/0.697/0.644,0.558/0.449/0.498
