Model,Best Epoch,Accuracy,Weighted Precision,Weighted Recall,Weighted F1,ROC-AUC,Benign P/R/F1,Pathogenic P/R/F1
CNN,5,0.6483126110124334,0.655653157170079,0.6483126110124334,0.6348153576993023,0.6864082846271313,0.634/0.819/0.715,0.681/0.450/0.542
BiLSTM,10,0.6383658969804619,0.6761050553381873,0.6383658969804619,0.6018859663732422,0.6501824328505357,0.610/0.909/0.730,0.753/0.324/0.453
CNN+BiLSTM,7,0.6377738306690349,0.6389617766002234,0.6377738306690349,0.6294260327532919,0.6762687591690779,0.634/0.771/0.696,0.644/0.483/0.552
Ensemble,10,0.62951450562463,0.6315711658832627,0.62951450562463,0.6186384767915467,0.6709598655273357,0.624/0.780/0.694,0.640/0.454/0.531
DNABERT-2,7,0.6188277087033748,0.6346425667508832,0.6188277087033748,0.5900971216724902,0.6739668968506658,0.602/0.856/0.707,0.672/0.343/0.454
NT,3,0.8376554174067495,0.8388629482321839,0.8376554174067495,0.8368966373617226,0.9015744330571009,0.825/0.886/0.854,0.855/0.781/0.816
