model,epoch,start_time,end_time,duration_seconds
dnabert2,1,Sun Sep 20 14:16:07 2026,Sun Sep 20 14:51:25 2026,2118.2208921909332
dnabert2,2,Sun Sep 20 14:51:25 2026,Sun Sep 20 15:25:35 2026,2050.249522924423
dnabert2,3,Sun Sep 20 15:25:35 2026,Sun Sep 20 15:59:39 2026,2043.3516342639923
dnabert2,4,Sun Sep 20 15:59:39 2026,Sun Sep 20 16:33:41 2026,2042.6931726932526
dnabert2,5,Sun Sep 20 16:33:41 2026,Sun Sep 20 17:07:44 2026,2042.5334117412567
dnabert2,6,Sun Sep 20 17:07:44 2026,Sun Sep 20 17:41:46 2026,2042.68040060997
dnabert2,7,Sun Sep 20 17:41:46 2026,Sun Sep 20 18:15:49 2026,2042.429235458374
dnabert2,8,Sun Sep 20 18:15:49 2026,Sun Sep 20 18:49:52 2026,2042.5933558940887
dnabert2,9,Sun Sep 20 18:49:52 2026,Sun Sep 20 19:23:54 2026,2042.568948507309
dnabert2,10,Sun Sep 20 19:23:54 2026,Sun Sep 20 19:57:57 2026,2042.4567573070526
