model,epoch,start_time,end_time,duration_seconds
dnabert2,1,Mon Sep 21 01:44:34 2026,Mon Sep 21 02:18:37 2026,2043.0649683475494
dnabert2,2,Mon Sep 21 02:18:37 2026,Mon Sep 21 02:52:40 2026,2042.619012594223
dnabert2,3,Mon Sep 21 02:52:40 2026,Mon Sep 21 03:26:43 2026,2042.6673910617828
dnabert2,4,Mon Sep 21 03:26:43 2026,Mon Sep 21 04:00:45 2026,2042.421662569046
dnabert2,5,Mon Sep 21 04:00:45 2026,Mon Sep 21 04:34:47 2026,2042.355186700821
dnabert2,6,Mon Sep 21 04:34:47 2026,Mon Sep 21 05:08:50 2026,2042.383535861969
dnabert2,7,Mon Sep 21 05:08:50 2026,Mon Sep 21 05:42:52 2026,2042.387447834015
dnabert2,8,Mon Sep 21 05:42:52 2026,Mon Sep 21 06:16:54 2026,2042.295417547226
dnabert2,9,Mon Sep 21 06:16:54 2026,Mon Sep 21 06:50:57 2026,2042.3199076652527
dnabert2,10,Mon Sep 21 06:50:57 2026,Mon Sep 21 07:24:59 2026,2042.3820235729218
