run,pooled_auroc,macro_within_gene_auroc,n_weighted_within_gene_auroc,between_gene_auroc,n_valid_genes,frac_variants_in_valid_genes
M3,0.5,0.5,0.5,0.5,13.0,0.9982830076968621
NT,0.9015744330571008,0.8639899708906883,0.8923123634773387,0.6915246956746095,13.0,0.9982830076968621
DNABERT-2 seed 42,0.6739668968506657,0.6829330579561674,0.6903909606094033,0.590105732216445,13.0,0.9982830076968621
DNABERT-2 seed 1,0.6795601313262407,0.6638141019605451,0.6644667767178296,0.6678455343459951,13.0,0.9982830076968621
DNABERT-2 seed 2,0.6784897539432394,0.6773269276677998,0.6895305956448194,0.6168995243925112,13.0,0.9982830076968621
DNABERT-2 seed 3,0.6640002946035167,0.6702534550088832,0.663463986759854,0.623938300595034,13.0,0.9982830076968621
DNABERT-2 mean over seeds,0.6740042691809156,0.6735818856483489,0.6769630799329766,0.6246972728874963,13.0,0.9982830076968621
DNABERT-2 min over seeds,0.6640002946035167,0.6638141019605451,0.663463986759854,0.590105732216445,13.0,0.9982830076968621
DNABERT-2 max over seeds,0.6795601313262407,0.6829330579561674,0.6903909606094033,0.6678455343459951,13.0,0.9982830076968621
