model,window,time_per_5pct_epoch_s,estimated_full_epoch_s,estimated_10_epoch_s
bilstm,100,8.57,171.4,1714.0
cnn_bilstm,100,9.03,180.59999999999997,1805.9999999999995
cnn,100,10.09,201.79999999999998,2017.9999999999998
ensemble,100,10.22,204.4,2044.0
nt,100,79.15,1583.0,15830.0
dnabert2,100,127.4,2548.0,25480.0
