Run,missing,"(0,1e-4)","[1e-4,1e-3)","[1e-3,1e-2)"
M3,0.7067,0.6177,0.5473,0.5771
M4,0.5000,0.5000,0.5000,0.5000
NT,0.9529,0.8468,0.7665,0.6660
DNABERT-2† seed 42,0.9364,0.7924,0.7221,0.6673
