split,accuracy,weighted_f1,roc_auc,pathogenic_recall,m3_roc_auc_reference,global_train_rate,rate_missing,rate_0,"rate_(0,1e-4)","rate_[1e-4,1e-3)","rate_[1e-3,1e-2)","rate_[1e-2,5e-2)",rate_>=5e-2
A,0.5482744331971823,0.5089668181380028,0.576244223098371,0.8635142052725877,0.6903291675609253,0.46257612419620986,0.505852374162884,0.4318755437442586,0.3857753650530635,0.37526258450233,0.1159335877270479,0.01897505074946414,0.002024762306804088
B,0.5510657193605684,0.5082046284593634,0.579581172822932,0.8802510245901639,0.5,0.4626443798234515,0.5054751661429362,0.45593171080163103,0.38894672582896306,0.3845348094736577,0.1266971408920612,0.021395552672521388,0.0024022182848827843
C,0.5071564885496184,0.5049980406654235,0.5336698359203702,0.5920975799649646,0.6043667005968095,0.4633099689048755,0.5119822199094517,0.3173261455094258,0.3006065273956768,0.2540536397465774,0.04456071528150278,0.009622960724487609,0.0010491098675063355
