Run,missing,"(0,1e-4)","[1e-4,1e-3)"
M3,0.5000,0.5000,0.5000
M4,0.5000,0.5000,0.5000
NT,0.9210,0.7874,0.7256
DNABERT-2† seed 42,0.6718,0.6327,0.6417
DNABERT-2† seed 1,0.6727,0.6492,0.6578
DNABERT-2† seed 2,0.6756,0.6349,0.6346
DNABERT-2† seed 3,0.6589,0.6262,0.6428
