Run,Full test AUROC,Matched mean,Matched 2.5%,Matched 97.5%,Delta (matched - full),Matched n
M3,0.6044,0.6017,0.5999,0.6030,-0.0026,30240
M4,0.5337,0.5000,0.5000,0.5000,-0.0337,30240
NT,0.8519,0.8567,0.8560,0.8576,0.0048,30240
DNABERT-2† seed 42,0.7772,0.7777,0.7766,0.7789,0.0004,30240
